SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
56069377, , ,BARINGO,0.23137028,35.83389162,BARINGO,Baringo
56069378,0.23099576,35.83360792,BARINGO,0.23137028,35.83389162,BARINGO,Bomet
56069379,0.231529765,35.833919,BARINGO,0.225043226,35.83629239,BARINGO,Bungoma
56069380, , ,BARINGO,0.225043226,35.83629239,BARINGO,Busia
56069381, , ,BARINGO,0.225043226,35.83629239,BARINGO,Embu
56069382, , ,BARINGO,0.225043226,35.83629239,BARINGO,Garissa
56069383,0.225043226,35.83629239,BARINGO,0.225043226,35.83629239,BARINGO,Homabay
56069368,0.226994033,35.82061117,BARINGO,0.227084928,35.82069339,BARINGO,Kajiado
56069386,0.158242224,35.82666256,BARINGO,0.158895333,35.82738006,BARINGO,Kakamega
56069369,0.228951545,35.82716003,BARINGO,0.229785332,35.82953202,BARINGO,Elgeyo-marakwet
56069365,0.226914346,35.82050772,BARINGO,0.230960349,35.83402272,BARINGO,Kiambu
56069366,0.230960349,35.83402272,BARINGO,0.230906537,35.834183,BARINGO,Kilifi
56069370,0.230741103,35.83441989,BARINGO,0.230522435,35.83423976,BARINGO,Kirinyaga
56069385,0.224871106,35.83440651,BARINGO,0.224750654,35.83426283,BARINGO,Kisii
56069384,0.224813584,35.83436093,BARINGO,0.224708116,35.83438351,BARINGO,Kisumu
56069373,0.230947459,35.83442372,BARINGO,0.230873913,35.83443752,BARINGO,Kitui
56069372,0.230951479,35.8344686,BARINGO,0.230951479,35.8344686,BARINGO,Kwale
56069371,0.230971952,35.83446436,BARINGO,0.230950522,35.83453723,BARINGO,Machakos
56069374,0.231119828,35.83471412,BARINGO,0.231119828,35.83471412,BARINGO,Makueni
56069375,0.227189505,35.83493484,BARINGO,0.227189505,35.83493484,BARINGO,Mandera
56080343,-0.539888333,35.291375,BOMET,-0.539888333,35.291375,BOMET,Marsabit
55947462,-0.535868333,35.29177,BOMET,-0.535868333,35.29177,BOMET,Meru
55947463,-0.535905,35.292025,BOMET,-0.535905,35.292025,BOMET,Migori
56080347,-0.54428,35.29217833,BOMET,-0.54428,35.29217833,BOMET,Mombasa
56080344, , ,BOMET,-0.540521667,35.29221,BOMET,Murang'a
56080346,-0.54362,35.29252167,BOMET,-0.54362,35.29252167,BOMET,Nairobi
56080345,-0.541263333,35.29260667,BOMET,-0.541263333,35.29260667,BOMET,Nakuru
56080349,-0.545811667,35.29260833,BOMET,-0.545811667,35.29260833,BOMET,Nandi
56080348, , ,BOMET,-0.544988333,35.29264833,BOMET,Narok
55933907,-0.536099168,35.29390444,BOMET,-0.536099168,35.29390444,BOMET,Nyamira
55933906,-0.535781449,35.29391297,BOMET,-0.535781449,35.29391297,BOMET,Nyeri
55933910,-0.535820718,35.29413007,BOMET,-0.535813016,35.29398983,BOMET,Samburu
55933908,-0.536321852,35.29449415,BOMET,-0.536321852,35.29449415,BOMET,Siaya
55933909,-0.535874748,35.29459651,BOMET,-0.535945449,35.29452055,BOMET,Taita Taveta
55933905,-0.53581041,35.29466856,BOMET,-0.5358206,35.29454468,BOMET,Turkana
55947459,-0.535828333,35.294525,BOMET,-0.535876667,35.29454833,BOMET,Wajir
55947458,-0.535863333,35.29469667,BOMET,-0.535848333,35.29463833,BOMET,
55947457,-0.535381667,35.29515167,BOMET,-0.5354,35.295095,BOMET,
55947460,-0.535063333,35.295835,BOMET,-0.535063333,35.295835,BOMET,
55947461,-0.534048333,35.29740333,BOMET,-0.534048333,35.29740333,BOMET,
55906903,-0.776798333,35.339425,BOMET,-0.776798333,35.339425,BOMET,
55906902,-0.77748,35.33956167,BOMET,-0.77748,35.33956167,BOMET,
55888005,-0.777680152,35.33969408,BOMET,-0.777680152,35.33969408,BOMET,
55906906,-0.778231667,35.34009833,BOMET,-0.778231667,35.34009833,BOMET,
55906904,-0.776658333,35.34022667,BOMET,-0.776645,35.34025667,BOMET,
55888010,-0.778361041,35.34028879,BOMET,-0.778361041,35.34028879,BOMET,
55888012,-0.778782864,35.34032605,BOMET,-0.778782864,35.34032605,BOMET,
55888011,-0.77831265,35.34045167,BOMET,-0.77831265,35.34045167,BOMET,
55888013,-0.777936946,35.34052036,BOMET,-0.777936946,35.34052036,BOMET,
55906905,-0.776045,35.34053833,BOMET,-0.776045,35.34053833,BOMET,
55888004,-0.778391801,35.3402694,BOMET,-0.778708271,35.34054841,BOMET,
55888001,-0.778229739,35.34054421,BOMET,-0.778307282,35.3406007,BOMET,
55888002,-0.778556893,35.34064975,BOMET,-0.778556893,35.34064975,BOMET,
55888000,-0.778287592,35.34070407,BOMET,-0.778287592,35.34070407,BOMET,
55888009,-0.778059905,35.34086344,BOMET,-0.778059905,35.34086344,BOMET,
55888007,-0.780769421,35.34209115,BOMET,-0.780769421,35.34209115,BOMET,
55906900,-0.78044,35.342515,BOMET,-0.780396667,35.34237833,BOMET,
55888008,-0.780297182,35.34241724,BOMET,-0.780297182,35.34241724,BOMET,
55887999,-0.7805305,35.34248859,BOMET,-0.7805305,35.34248859,BOMET,
55906901,-0.779935,35.342895,BOMET,-0.779935,35.342895,BOMET,
55890915,0.778901487,34.55108833,BUNGOMA,0.778901487,34.55108833,BUNGOMA,
55890921,0.778901487,34.55108833,BUNGOMA,0.778901487,34.55108833,BUNGOMA,
55890922,0.778901487,34.55108833,BUNGOMA,0.778901487,34.55108833,BUNGOMA,
55890919,0.777367508,34.55005888,BUNGOMA,0.777367508,34.55005888,BUNGOMA,
55862169,0.77501099,34.55207797,BUNGOMA,0.774671183,34.55011191,BUNGOMA,
55890917,0.776130465,34.55018787,BUNGOMA,0.776130465,34.55018787,BUNGOMA,
55890916,0.775868624,34.55043372,BUNGOMA,0.775868624,34.55043372,BUNGOMA,
55890920,0.778524956,34.55089735,BUNGOMA,0.77854346,34.55078708,BUNGOMA,
55862368,0.775107049,34.55109759,BUNGOMA,0.775107049,34.55109759,BUNGOMA,
55862370,0.776725773,34.55112905,BUNGOMA,0.776725773,34.55112905,BUNGOMA,
55862369,0.776383454,34.55124684,BUNGOMA,0.776383454,34.55124684,BUNGOMA,
55862371,0.775610229,34.55152531,BUNGOMA,0.775610229,34.55152531,BUNGOMA,
55862170,0.775321448,34.55153762,BUNGOMA,0.775321448,34.55153762,BUNGOMA,
55862372,0.775817342,34.55254109,BUNGOMA,0.775817342,34.55254109,BUNGOMA,
55862375,0.778578568,34.55374398,BUNGOMA,0.778550801,34.55375945,BUNGOMA,
55862374,0.777656393,34.55438063,BUNGOMA,0.777656393,34.55438063,BUNGOMA,
55862174,0.778584336,34.55456919,BUNGOMA,0.778584336,34.55456919,BUNGOMA,
55862171,0.775814836,34.55484564,BUNGOMA,0.775814836,34.55484564,BUNGOMA,
55862173,0.776999277,34.55514263,BUNGOMA,0.776999277,34.55514263,BUNGOMA,
55862172,0.774938051,34.55517336,BUNGOMA,0.774938051,34.55517336,BUNGOMA,
55772914,0.615461183,34.64815018,BUNGOMA,0.615461183,34.64815018,BUNGOMA,
55772913,0.61468939,34.6507358,BUNGOMA,0.61468939,34.6507358,BUNGOMA,
55772915,0.61209554,34.65097353,BUNGOMA,0.61209554,34.65097353,BUNGOMA,
55772916,0.611427165,34.65291203,BUNGOMA,0.611427165,34.65291203,BUNGOMA,
55772917,0.611249948,34.65309142,BUNGOMA,0.611249948,34.65309142,BUNGOMA,
55842193,0.614062587,34.65372431,BUNGOMA,0.614062587,34.65372431,BUNGOMA,
55772912,0.613432835,34.65390266,BUNGOMA,0.613432835,34.65390266,BUNGOMA,
55842192,0.61389189,34.65393557,BUNGOMA,0.61389189,34.65393557,BUNGOMA,
55827015,0.613413959,34.65412111,BUNGOMA,0.613413959,34.65412111,BUNGOMA,
55827014,0.61326955,34.65429923,BUNGOMA,0.61326955,34.65429923,BUNGOMA,
55842194,0.613967645,34.65456431,BUNGOMA,0.613967645,34.65456431,BUNGOMA,
55827016,0.61295367,34.65562691,BUNGOMA,0.61295367,34.65562691,BUNGOMA,
55827013, , ,BUNGOMA,0.614589645,34.65563298,BUNGOMA,
55772911, , ,BUNGOMA,0.614187285,34.65576293,BUNGOMA,
55827017, , ,BUNGOMA,0.612421718,34.65605475,BUNGOMA,
55842197,0.613589939,34.65611116,BUNGOMA,0.613589939,34.65611116,BUNGOMA,
55842195,0.613231254,34.65614458,BUNGOMA,0.613231254,34.65614458,BUNGOMA,
55842196,0.613783355,34.65623367,BUNGOMA,0.613783355,34.65623367,BUNGOMA,
55827018, , ,BUNGOMA,0.614616641,34.65705982,BUNGOMA,
55827019, , ,BUNGOMA,0.615339376,34.65726486,BUNGOMA,
55881193,0.607221811,34.76775011,BUNGOMA,0.607221811,34.76775011,BUNGOMA,
55879914,0.605743735,34.76787224,BUNGOMA,0.605743735,34.76787224,BUNGOMA,
55879916,0.606448163,34.76805345,BUNGOMA,0.606448163,34.76805345,BUNGOMA,
55881192,0.606211612,34.76849109,BUNGOMA,0.606211612,34.76849109,BUNGOMA,
55879912,0.606439923,34.76868607,BUNGOMA,0.606439923,34.76868607,BUNGOMA,
55879913,0.606334353,34.76896545,BUNGOMA,0.606334353,34.76896545,BUNGOMA,
55879915,0.606700729,34.76914356,BUNGOMA,0.606700729,34.76914356,BUNGOMA,
55890980, , ,BUNGOMA,0.606263815,34.76933064,BUNGOMA,
55890979, , ,BUNGOMA,0.606552854,34.76939919,BUNGOMA,
55881191,0.606688465,34.76947614,BUNGOMA,0.606688465,34.76947614,BUNGOMA,
55890978,0.606455233,34.76974991,BUNGOMA,0.606455233,34.76974991,BUNGOMA,
55890977,0.60602348,34.76990708,BUNGOMA,0.60602348,34.76990708,BUNGOMA,
